"","model_name","n_params","model_length","FIT_ERROR_MEAN","FIT_ERROR_UPPER_MEAN","FIT_ERROR_LOWER_MEAN","PREDICTION_ERROR_MEAN","PREDICTION_ERROR_LOWER_MEAN","PREDICTION_ERROR_UPPER_MEAN","ACCURACY_MEAN","ACCURACY_UPPER_MEAN","ACCURACY_LOWER_MEAN","AIC"
"1","PC1",1,27,0.578119970576813,0.653642594620759,0.502597346532868,0.609900284900285,0.458415575375379,0.761384994425191,0.390099715099715,0.557552616492125,0.239828896935752,393.490917807714
"2","PC2",1,959,0.458136892649854,0.534148512592515,0.382125272707192,0.480086762386032,0.326392029494677,0.633781495277388,0.519939974866982,0.679315337653746,0.357439630027277,387.383004694051
"3","PC4",1,14,0.450655919356158,0.526545666764756,0.374766171947559,0.482921245421245,0.328302851482024,0.637539639360467,0.517078754578755,0.67753435409389,0.353974290800549,390.69969191729
"4","PC1 PC2",2,984,0.340667380230445,0.413139994382951,0.268194766077938,0.344911533249948,0.1983996154637,0.491423451036195,0.655088466750052,0.797112281398099,0.488692087512623,309.849051224641
"5","PC2 PC4",2,16,0.360487415130908,0.433849787448081,0.287125042813736,0.39375,0.242453103785243,0.545046896214757,0.60625,0.756602952380707,0.439271002464038,335.225715441552
"6","PC1 PC2 PC3",3,25,0.329161847047946,0.401061827732753,0.257261866363138,0.372820512820513,0.22355704834025,0.522083977300776,0.627179487179487,0.773990358424946,0.460459334728876,284.362957760226
"7","PC1 PC2 PC4",3,944,0.32998262279284,0.401885662378586,0.258079583207093,0.336057692307692,0.190409427610718,0.481705957004667,0.663942307692308,0.804455046268835,0.497649531473427,290.135614391879
"8","PC1 PC2 PC5",3,31,0.310017122606961,0.380775898346913,0.239258346867009,0.331286186931348,0.185915014256815,0.476657359605882,0.668713813068652,0.808588344987216,0.502315777113981,281.900047253198
"9","PC1 PC2 PC3 PC4",4,842,0.324555769700301,0.396112371543766,0.252999167856837,0.333592941104818,0.188204534781369,0.478981347428266,0.666407058895182,0.806481407188358,0.5001640160668,280.623842811028
"10","PC1 PC2 PC3 PC5",4,5,0.269168990518684,0.336954740950849,0.201383240086518,0.325,0.179509197024364,0.470490802975636,0.675,0.814518103796242,0.508020127347253,249.214791081825
"11","PC1 PC2 PC4 PC5",4,153,0.30996235422548,0.380637221387222,0.239287487063737,0.323575498575499,0.179365055423026,0.467785941727971,0.676424501424501,0.814600182725022,0.510483900711222,269.13668255621
"12","PC1 PC2 PC3 PC4 PC5",5,907,0.303689100068842,0.373919165731818,0.233459034405866,0.313840358465496,0.170722780089275,0.456957936841717,0.686159641534504,0.822535317565525,0.520463241712294,274.248331218715
