"","model_name","n_params","model_length","FIT_ERROR_MEAN","FIT_ERROR_UPPER_MEAN","FIT_ERROR_LOWER_MEAN","PREDICTION_ERROR_MEAN","PREDICTION_ERROR_LOWER_MEAN","PREDICTION_ERROR_UPPER_MEAN","ACCURACY_MEAN","ACCURACY_UPPER_MEAN","ACCURACY_LOWER_MEAN","AIC"
"1","PC2",1,955,0.458845428253692,0.534868573484288,0.382822283023095,0.477684924150893,0.323964669870987,0.631405178430799,0.522315075849107,0.681532992218073,0.35960723509101,387.589957714445
"2","PC4",1,20,0.454306790808563,0.530504228434266,0.378109353182859,0.482179487179487,0.327792001432221,0.636566972926753,0.517820512820513,0.677964778407659,0.354882682546361,388.311906406019
"3","PC1",1,25,0.581275036346351,0.65674583415996,0.505804238532743,0.623076923076923,0.47358493941206,0.772568906741786,0.376923076923077,0.543511443978769,0.229587041830413,394.882071811985
"4","PC1 PC2",2,977,0.339960612250279,0.412378093793916,0.267543130706641,0.344195995066005,0.19766754002565,0.49072445010636,0.655804004933995,0.797788487697901,0.489336050421236,309.803576757201
"5","PC2 PC4",2,22,0.359786072812515,0.433208082241181,0.286364063383848,0.379924242424242,0.230158979012229,0.529689505836256,0.620075757575758,0.767914626965949,0.453496478200715,334.793060038181
"6","PC1 PC4",2,1,0.512345679012346,0.589318276328889,0.435373081695802,0.55,0.395825099318988,0.704174900681012,0.45,0.615093205465987,0.29258835003988,348.412588948973
"7","PC1 PC2 PC4",3,943,0.330403405981355,0.402323648457845,0.258483163504866,0.333874432389809,0.188448650133618,0.479300214645999,0.666125567610191,0.806256456888419,0.499871310605557,290.519268365447
"8","PC1 PC2 PC3",3,30,0.330918548734104,0.402882028943995,0.258955068524214,0.382521367521368,0.232255717050952,0.532787017991783,0.617478632478632,0.766003814456664,0.450555638925327,286.499179677959
"9","PC1 PC2 PC5",3,27,0.30767317149882,0.378267248468632,0.237079094529008,0.323005698005698,0.177956945036163,0.468054450975233,0.676994301994302,0.81590662037739,0.510147647117099,282.871232302303
"10","PC1 PC2 PC3 PC4",4,847,0.326170872878819,0.397814017356312,0.254527728401327,0.335199648836012,0.189576086610944,0.48082321106108,0.664800351163988,0.805223504120758,0.498470702186485,282.816826785576
"11","PC1 PC2 PC4 PC5",4,146,0.30650526821684,0.376987550098668,0.236022986335012,0.307560590094837,0.165515239324113,0.44960594086556,0.692439409905163,0.827295352210555,0.527197739139809,269.507083913861
"12","PC1 PC2 PC3 PC5",4,7,0.276106167701969,0.344491633427937,0.207720701976,0.332692307692308,0.187594565735593,0.477790049649023,0.667307692307692,0.80698974201484,0.501217850277511,257.337468057339
"13","PC1 PC2 PC3 PC4 PC5",5,939,0.304495048550777,0.37477040135543,0.234219695746124,0.314034297261134,0.171045680971021,0.457022913551247,0.685993009475438,0.82225391151147,0.520428164988584,275.666380667519
