"","model_name","n_params","model_length","FIT_ERROR_MEAN","FIT_ERROR_UPPER_MEAN","FIT_ERROR_LOWER_MEAN","PREDICTION_ERROR_MEAN","PREDICTION_ERROR_LOWER_MEAN","PREDICTION_ERROR_UPPER_MEAN","ACCURACY_MEAN","ACCURACY_UPPER_MEAN","ACCURACY_LOWER_MEAN"
"1","PC1+PC2",2,1000,0.366628397519974,0.440255622838467,0.293001172201482,0.380090384615385,0.230442825224102,0.529737944006667,0.619884615384615,0.767630516598792,0.453340676808638
"2","PC1+PC3",2,1000,0.546157689897634,0.622087666805274,0.470227712989994,0.566771153846154,0.413860635713945,0.719681671978362,0.433228846153846,0.598660940491098,0.278256712085766
"3","PC1+PC4",2,1000,0.556343723866065,0.632254676199393,0.480432771532736,0.566116025641026,0.412841008612726,0.719391042669325,0.433883974358974,0.599601957445172,0.278514610735608
"4","PC1+PC5",2,1000,0.565080988818802,0.640643711057154,0.48951826658045,0.582319230769231,0.43002168888595,0.734616772652511,0.417680769230769,0.583757658364057,0.264501664921542
"5","PC2+PC3",2,1000,0.491580428387808,0.567990846601822,0.415170010173794,0.502124358974359,0.347487333816746,0.656761384131972,0.497875641025641,0.659859164970647,0.33621803405386
"6","PC2+PC4",2,1000,0.409805221987258,0.484772542414128,0.334837901560388,0.438158974358974,0.286016484390581,0.590301464327368,0.561815384615385,0.716453296236652,0.397481315973943
"7","PC2+PC5",2,1000,0.444081916813965,0.519871314370804,0.368292519257126,0.465124358974359,0.311885950977851,0.618362766970867,0.534875641025641,0.692649048899469,0.37162994512638
"8","PC3+PC4",2,1000,0.55278212172149,0.628645930398224,0.476918313044756,0.570452564102564,0.41793556060024,0.722969567604889,0.429623717948718,0.594975757588392,0.275303318906459
"9","PC3+PC5",2,1000,0.605879587983355,0.680591890858331,0.531167285108379,0.620658333333333,0.470803057152989,0.770513609513678,0.379341666666667,0.546139726210901,0.231461408297876
"10","PC4+PC5",2,1000,0.534387286353396,0.610562789376155,0.458211783330638,0.564030769230769,0.411435889926496,0.716625648535043,0.435969230769231,0.600893968528999,0.281080384753086
"11","PC1+PC2+PC3",3,1000,0.367717326167456,0.441265664258355,0.294168988076558,0.382871794871795,0.23353141965737,0.53221217008622,0.617128205128205,0.764795393492391,0.451079032923837
"12","PC1+PC2+PC4",3,1000,0.35930255609955,0.432595997780315,0.286009114418786,0.374021794871795,0.22481881172082,0.52322477802277,0.625978205128205,0.772825652322896,0.459369267112005
"13","PC1+PC2+PC5",3,1000,0.352752449511337,0.425749835526146,0.279755063496527,0.364860897435897,0.216523098468641,0.513198696403154,0.635114102564103,0.780431001848847,0.46859109158319
"14","PC1+PC3+PC4",3,1000,0.529462059421179,0.60567227587868,0.453251842963677,0.549488461538462,0.39597820498448,0.702998718092444,0.450510897435897,0.615149862159498,0.293622419702632
"15","PC1+PC3+PC5",3,1000,0.538130779626946,0.614243169255536,0.462018389998356,0.55986858974359,0.406637313361306,0.713099866125873,0.44013141025641,0.605321623869962,0.284315796333858
"16","PC1+PC4+PC5",3,1000,0.539508718951743,0.615614841576662,0.463402596326824,0.552582692307692,0.398764836049853,0.706400548565532,0.447417307692308,0.612583242690485,0.290478050784737
"17","PC2+PC3+PC4",3,1000,0.45069577895243,0.526752047708201,0.374639510196659,0.466897435897436,0.312821878248119,0.620972993546753,0.533102564102564,0.691806809229968,0.369218472166104
"18","PC2+PC3+PC5",3,1000,0.47595423247108,0.552314332903595,0.399594132038565,0.48711858974359,0.332559811517572,0.641677367969607,0.51288141025641,0.673620118143713,0.350125820403129
"19","PC2+PC4+PC5",3,1000,0.408386144011902,0.483392187858233,0.333380100165571,0.435673076923077,0.283253290859782,0.588092862986372,0.564326282051282,0.719024438415095,0.399543166166435
"20","PC3+PC4+PC5",3,1000,0.541957838257247,0.618021341544382,0.465894334970111,0.559012820512821,0.40584899068537,0.712176650340272,0.440987179487179,0.606049611881668,0.285170476797857
"21","PC1+PC2+PC3+PC4",4,1000,0.349455599967666,0.422184117982344,0.276727081952988,0.368094230769231,0.219963632660426,0.516224828878035,0.631905769230769,0.777271954280682,0.465819567199393
"22","PC1+PC2+PC3+PC5",4,1000,0.367234409108592,0.440797402418859,0.293671415798326,0.382803205128205,0.233182749422138,0.532423660834273,0.617196794871795,0.765123431377336,0.450883666062751
"23","PC1+PC2+PC4+PC5",4,1000,0.34502645184323,0.417629750017974,0.272423153668487,0.361188461538462,0.213156534325757,0.509220388751166,0.638811538461538,0.783547437018558,0.47228293190521
"24","PC1+PC3+PC4+PC5",4,1000,0.519257952485247,0.595556339470002,0.442959565500493,0.538190384615385,0.384393819183941,0.691986950046828,0.461809615384615,0.625832038556989,0.303766821860783
"25","PC2+PC3+PC4+PC5",4,1000,0.439942041138638,0.515813533150421,0.364070549126855,0.455662820512821,0.301899512722311,0.60942612830333,0.54433717948718,0.701868092533545,0.379865295845598
"26","PC1+PC2+PC3+PC4+PC5",5,1000,0.353645532728084,0.426605463727708,0.280685601728459,0.371158974358974,0.222475889527259,0.519842059190689,0.628816025641026,0.774949328973478,0.462462419125852
